시군명,정류소명,정류소영문명,정류소id,정류소번호,중앙차로여부,관할관청,위치,WGS84위도,WGS84경도
안양시,귀인중학교,Gwiin Middle School ,209000160,10137,노변정류장,경기도 안양시,경기도 안양시 동안구 평촌동,37.3843333,126.9651333
안양시,귀인초등학교,Kwiin Elementary School ,209000300,10265,노변정류장,경기도 안양시,,37.3869,126.9657
안양시,근명여자정보고,Keunmyung Girls' Information High School,208000300,9268,노변정류장,경기도 안양시,,37.3940333,126.9198667
안양시,근명여자정보고,Keunmyung Girls' Information High School,208000326,9290,노변정류장,경기도 안양시,,37.3939,126.9198667
안양시,금강펜터리움IT타워,Geumgang Penterium IT Tower,209000257,10229,노변정류장,경기도 안양시,,37.4009333,126.9698167
안양시,금성마을,Geumseong Maeul ,209000123,10094,노변정류장,경기도 안양시,,37.37325,126.95735
안양시,금용아파트,Geumyong Apartment ,208000007,9080,노변정류장,경기도 안양시,경기도 안양시 만안구 안양동,37.3883333,126.9090833
안양시,금용아파트,Geumyong Apartment,208000135,9085,노변정류장,경기도 안양시,경기도 안양시 만안구 안양동,37.3887,126.9091833
안양시,금호아파트,Geumho Apartment ,208000294,9262,노변정류장,경기도 안양시,,37.39945,126.9004167
안양시,금호아파트,Geumho Apartment ,208000367,9331,노변정류장,경기도 안양시,,37.3995,126.9001667
